DCAT class,DCAT prop,CKAN class,CKAN dataset field,DC Terms,INSPIRE,ISDI Metadata Profile ,ISO 19115,Dublinked,Project Open Data Metadata Schema v1.1,Schema.org
dcat:Catalog,dcat:dataset,,,,Coupled resource,,,,,
dcat:Dataset,adms:identifier,Dataset,extra:alternate_identifier,,,,,,,
dcat:Dataset,adms:version,Dataset,extra:dcat_version,,,,,,,
dcat:Dataset,adms:versionNotes,Dataset,extra:version_notes,,,,,,,
dcat:Dataset,dcat:contactPoint,Dataset,extra:contact_uri,,Responsible organisation - Point of Contact,Responsible party,pointOfContact (29),Agency,contactPoint -> fn,provider -> Person:name
dcat:Dataset,dcat:distribution,Dataset,resources,,,,,,distribution,distribution
dcat:Dataset,dcat:keyword,Dataset,tags,,Keyword,Descriptive keywords,"keyword (53), thesaurasName (55)",Keywords,keyword,keywords
dcat:Dataset,dcat:landingPage,Dataset,url,,Resource locator,,,Links,landingPage,url
dcat:Dataset,dcat:theme,Dataset,extra:theme,,Keyword,Topic category,topicCategory (41),Categories,theme,about
dcat:Dataset,dct:accrualPeriodicity,Dataset,extra:frequency,dct:accrualPeriodicity,,Maintenance update and frequency,resourceMaintenance (-),Update Frequency,accrualPeriodicity,
dcat:Dataset,dct:description,Dataset,notes,dct:description,Resource abstract,Resource abstract,abstract (25),Description,description,description
dcat:Dataset,dct:identifier,Dataset,extra:identifier,dct:identifier,Unique resource identifier,Unique resource identifier,identifier (365),,identifier,
dcat:Dataset,dct:issued,Dataset,extra:issued,dct:issued,Temporal reference - Date of publication,Date of publication,date (394),Date of Publication,,
dcat:Dataset,dct:language,Dataset,extra:language,dct:language,Resource language,Dataset language,language (39),Language,language,inLanguage
dcat:Dataset,dct:modified,Dataset,extra:modified,dct:modified,Temporal reference - Date of last revisiton,Date of last revision,date (394),Date of Last Revision,modified,dateModified
